Feature ID	Taxon
117	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
118	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
119	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
120	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
121	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
122	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
123	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
124	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
125	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
126	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
127	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
128	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
129	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
130	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
131	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
132	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
133	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
134	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
135	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
136	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
137	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
138	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
139	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
140	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
141	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
142	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
143	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
144	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
145	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
146	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
147	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
148	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
149	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
150	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
151	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
152	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
153	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
154	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
155	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
156	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
157	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
158	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
159	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
160	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
161	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
162	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
163	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
164	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
165	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
